Provincia,Referencia,Fecha Alta,Tipo,Operación,Superficie,Precio Venta,Fecha Venta,Vendedor
Lleida,52,2004-01-22,Local,Alquiler,206,1605564,2004-09-26,María
Tarragona,53,2004-01-22,Suelo,Alquiler,158,1438748,2004-10-17,Carmen
Girona,58,2004-01-24,Local,Alquiler,274,2287626,2004-12-21,María
Tarragona,59,2004-01-24,Industrial,Venta,166,1373816,2004-11-19,Joaquín
Lleida,60,2004-01-24,Oficina,Alquiler,270,1920240,2004-06-28,Jesús
Tarragona,61,2004-01-24,Casa,Venta,120,1140840,2004-09-12,Carmen
Tarragona,62,2004-01-24,Industrial,Venta,178,1142938,2005-01-23,Joaquín
Tarragona,65,2004-01-26,Oficina,Venta,144,1436832,2004-05-26,Luisa
Lleida,66,2004-01-27,Suelo,Venta,272,2119424,2004-12-24,Pedro
Girona,69,2004-01-27,Local,Venta,248,2212408,2004-10-09,María
Tarragona,70,2004-01-28,Casa,Alquiler,179,1647695,2004-07-12,María
Girona,71,2004-01-28,Casa,Venta,235,1939925,2004-11-01,Carmen
Tarragona,72,2004-01-28,Suelo,Venta,216,1478952,2004-10-15,Carmen
Girona,74,2004-01-29,Industrial,Venta,229,1098055,2004-10-22,Joaquín
Tarragona,76,2004-01-29,Suelo,Alquiler,234,1757106,2004-12-28,Pedro
Tarragona,77,2004-01-30,Industrial,Alquiler,112,1104992,2004-06-25,Pedro
Barcelona,79,2004-01-31,Parking,Venta,298,2520484,2004-11-27,Carmen
Barcelona,80,2004-01-31,Parking,Alquiler,217,1339107,2004-10-05,Carmen
Barcelona,81,2004-02-01,Industrial,Alquiler,236,1812244,2004-11-17,Pedro
Girona,82,2004-02-02,Parking,Venta,117,1069731,2004-09-14,Pedro
Girona,86,2004-02-03,Piso,Venta,275,2141700,2005-01-08,Jesús
Girona,90,2004-02-04,Suelo,Venta,292,2685816,2004-07-24,Pedro
Lleida,98,2004-02-07,Casa,Venta,227,1467782,2005-02-01,Carmen
Girona,99,2004-02-07,Industrial,Alquiler,251,2067236,2004-12-22,María
Girona,103,2004-02-08,Casa,Alquiler,258,1188090,2004-07-19,María
Girona,105,2004-02-10,Piso,Alquiler,238,1854496,2005-02-02,Luisa
Lleida,106,2004-02-10,Piso,Alquiler,300,2105700,2005-01-26,Pedro
Girona,107,2004-02-10,Suelo,Alquiler,222,1791318,2004-12-13,Jesús
Tarragona,108,2004-02-12,Suelo,Alquiler,187,1782297,2004-12-20,Joaquín
Barcelona,109,2004-02-12,Suelo,Alquiler,300,1528200,2004-08-09,Pedro
Barcelona,110,2004-02-12,Parking,Venta,206,1587642,2004-12-20,Luisa
Lleida,112,2004-02-13,Local,Alquiler,160,1064800,2004-09-22,Pedro
Girona,117,2004-02-15,Oficina,Venta,274,1724008,2004-09-26,Joaquín
Girona,118,2004-02-15,Oficina,Venta,253,2047276,2004-09-10,Luisa
Barcelona,122,2004-02-17,Casa,Alquiler,270,1385910,2005-02-05,Pedro
Girona,123,2004-02-17,Local,Alquiler,179,1461356,2004-07-30,Pedro
Girona,125,2004-02-19,Industrial,Venta,118,1067192,2004-08-25,Carmen
Tarragona,126,2004-02-19,Industrial,Venta,194,1373132,2004-08-31,María
Barcelona,127,2004-02-20,Industrial,Venta,139,1087119,2004-05-29,Jesús
Tarragona,128,2004-02-20,Casa,Venta,130,1230190,2005-01-04,Luisa
Lleida,129,2004-02-21,Parking,Alquiler,206,1363926,2005-01-08,Carmen
Tarragona,130,2004-02-21,Oficina,Venta,216,1389096,2004-11-23,Luisa
Tarragona,132,2004-02-21,Oficina,Venta,190,1268630,2004-12-04,Jesús
Tarragona,134,2004-02-22,Oficina,Alquiler,275,1765225,2005-02-20,Joaquín
Barcelona,140,2004-02-26,Piso,Venta,222,1076034,2004-06-02,María
Tarragona,142,2004-02-27,Oficina,Venta,123,1128156,2004-09-23,Pedro
Tarragona,143,2004-02-27,Oficina,Alquiler,134,1310520,2004-12-28,María
Girona,146,2004-02-28,Parking,Venta,274,2028970,2004-08-20,Luisa
Lleida,149,2004-02-29,Piso,Venta,249,1492506,2005-02-12,Luisa
Lleida,150,2004-03-01,Casa,Alquiler,212,1800516,2004-12-19,Jesús
Lleida,151,2004-03-01,Oficina,Alquiler,128,1259904,2004-10-02,Luisa
Tarragona,152,2004-03-02,Oficina,Venta,172,1063648,2005-02-13,María
Girona,155,2004-03-03,Suelo,Alquiler,185,1403595,2004-10-02,Pedro
Girona,156,2004-03-03,Casa,Venta,284,1561432,2004-07-01,Pedro
Tarragona,157,2004-03-03,Oficina,Venta,202,1891932,2004-10-02,María
Tarragona,161,2004-03-04,Suelo,Venta,165,1305480,2004-07-29,Jesús
Lleida,162,2004-03-05,Piso,Alquiler,251,1361675,2004-08-16,Jesús
Tarragona,163,2004-03-05,Local,Venta,266,1161090,2004-11-23,Carmen
Girona,164,2004-03-05,Oficina,Alquiler,287,1395681,2004-09-13,Carmen
Tarragona,165,2004-03-05,Industrial,Venta,104,1001104,2004-10-11,Luisa
Tarragona,166,2004-03-06,Oficina,Venta,250,2275500,2004-07-29,Luisa
Girona,167,2004-03-06,Parking,Venta,169,1370759,2005-01-14,Luisa
Lleida,168,2004-03-06,Suelo,Venta,221,1842035,2004-10-15,Joaquín
Barcelona,169,2004-03-07,Industrial,Alquiler,286,2080078,2004-07-14,Jesús
Girona,171,2004-03-08,Suelo,Venta,144,1358640,2004-11-13,Joaquín
Girona,173,2004-03-09,Oficina,Venta,268,2400476,2005-03-08,Joaquín
Lleida,174,2004-03-09,Piso,Alquiler,143,1131416,2004-08-25,Joaquín
Lleida,176,2004-03-10,Industrial,Alquiler,193,1658835,2004-08-30,Jesús
Tarragona,177,2004-03-11,Suelo,Venta,148,1431012,2004-09-01,Jesús
Tarragona,180,2004-03-12,Suelo,Alquiler,201,1874928,2004-06-21,Jesús
Tarragona,182,2004-03-13,Local,Alquiler,162,1323054,2004-08-25,Joaquín
Girona,183,2004-03-14,Local,Alquiler,231,1446522,2004-09-02,Carmen
Tarragona,184,2004-03-14,Suelo,Venta,273,1447992,2004-10-24,Pedro
Barcelona,185,2004-03-15,Industrial,Venta,265,2109930,2004-08-27,María
Girona,189,2004-03-17,Parking,Venta,160,1261600,2004-10-25,Jesús
Barcelona,196,2004-03-20,Piso,Alquiler,281,1336717,2004-11-10,Carmen
Tarragona,200,2004-03-22,Parking,Venta,281,2108343,2004-09-26,Pedro
Girona,201,2004-03-22,Parking,Venta,247,1050985,2004-11-09,Pedro
Girona,205,2004-03-23,Local,Venta,274,2002392,2004-12-04,Luisa
Lleida,206,2004-03-23,Piso,Alquiler,250,2253500,2005-02-21,Joaquín
Lleida,207,2004-03-23,Piso,Alquiler,134,1338124,2004-08-19,Luisa
Lleida,208,2004-03-23,Casa,Venta,156,1369680,2004-09-27,Pedro
Lleida,209,2004-03-24,Parking,Venta,167,1643948,2004-09-21,María
Lleida,210,2004-03-24,Oficina,Alquiler,206,1297594,2005-03-03,Carmen
Barcelona,211,2004-03-25,Parking,Alquiler,269,2134246,2004-08-11,Carmen
Lleida,213,2004-03-26,Suelo,Alquiler,223,1932518,2005-01-19,Pedro
Girona,214,2004-03-26,Industrial,Venta,163,1385011,2004-08-26,Carmen
Girona,215,2004-03-27,Parking,Alquiler,214,1219158,2004-07-13,Pedro
Tarragona,216,2004-03-27,Industrial,Venta,263,1494892,2005-02-02,María
Lleida,217,2004-03-28,Industrial,Alquiler,216,1398600,2004-11-03,Luisa
Lleida,220,2004-03-30,Industrial,Alquiler,209,1042283,2004-09-17,Jesús
Tarragona,224,2004-03-31,Oficina,Venta,192,1032000,2004-08-21,Luisa
Barcelona,225,2004-04-01,Parking,Alquiler,152,1069320,2004-12-15,Jesús
Tarragona,226,2004-04-01,Local,Alquiler,182,1133132,2004-08-29,Joaquín
Lleida,227,2004-04-01,Casa,Venta,179,1670965,2004-09-09,Luisa
Girona,228,2004-04-01,Local,Venta,211,2010619,2004-11-12,Jesús
Tarragona,230,2004-04-02,Oficina,Alquiler,186,1382166,2005-03-01,Pedro
Tarragona,232,2004-04-03,Oficina,Venta,212,1479548,2004-11-03,María
Girona,233,2004-04-03,Local,Alquiler,246,1362348,2004-10-05,Joaquín
Girona,234,2004-04-03,Suelo,Venta,230,1722700,2005-03-26,Carmen
Girona,236,2004-04-03,Industrial,Venta,226,2104286,2004-08-26,Carmen
Tarragona,237,2004-04-05,Piso,Venta,262,1748850,2004-10-07,Pedro
Lleida,239,2004-04-05,Piso,Alquiler,268,2338032,2005-01-02,Pedro
Barcelona,240,2004-04-06,Parking,Venta,164,1298716,2004-12-03,Luisa
Lleida,241,2004-04-06,Local,Venta,260,2038660,2004-07-26,Carmen
Lleida,243,2004-04-07,Local,Venta,298,1870546,2005-03-31,Luisa
Tarragona,244,2004-04-07,Local,Alquiler,284,1431076,2004-12-22,María
Barcelona,245,2004-04-08,Casa,Venta,239,1176597,2004-07-07,Joaquín
Girona,246,2004-04-09,Local,Venta,287,1936102,2005-04-08,Jesús
Barcelona,247,2004-04-09,Industrial,Alquiler,159,1582527,2004-12-09,Jesús
Tarragona,249,2004-04-09,Industrial,Venta,223,2026401,2004-12-13,Joaquín
Lleida,251,2004-04-09,Suelo,Venta,124,1130632,2005-01-22,Pedro
Lleida,252,2004-04-09,Parking,Alquiler,168,1622040,2004-10-15,María
Girona,256,2004-04-10,Industrial,Venta,238,1620304,2004-10-05,Carmen
Lleida,257,2004-04-11,Suelo,Alquiler,261,1220697,2005-02-09,Carmen
Barcelona,258,2004-04-11,Suelo,Alquiler,242,1099648,2005-02-13,María
Tarragona,259,2004-04-11,Parking,Venta,138,1183212,2005-02-26,Luisa
Tarragona,260,2004-04-12,Piso,Alquiler,258,1750014,2004-12-09,Luisa
Lleida,261,2004-04-12,Casa,Alquiler,201,1107108,2005-04-07,Joaquín
Barcelona,262,2004-04-12,Casa,Alquiler,181,1449629,2004-09-14,Luisa
Barcelona,263,2004-04-13,Oficina,Alquiler,244,1006988,2004-08-06,María
Tarragona,264,2004-04-14,Parking,Alquiler,258,1770912,2005-03-02,Jesús
Tarragona,266,2004-04-14,Parking,Alquiler,216,1125792,2004-09-16,Jesús
Girona,267,2004-04-14,Casa,Venta,204,1291116,2004-09-27,Carmen
Tarragona,270,2004-04-15,Parking,Alquiler,223,1342906,2004-10-31,Joaquín
Lleida,271,2004-04-15,Local,Alquiler,237,1093281,2005-01-02,Jesús
Lleida,272,2004-04-15,Suelo,Venta,270,2409210,2004-09-03,Carmen
Lleida,274,2004-04-15,Piso,Alquiler,113,1102880,2005-03-17,Jesús
Girona,275,2004-04-16,Local,Alquiler,193,1079449,2004-11-20,Pedro
Girona,276,2004-04-17,Oficina,Alquiler,110,1039500,2004-11-17,Pedro
Barcelona,277,2004-04-17,Parking,Venta,209,2038586,2005-01-06,Jesús
Girona,279,2004-04-18,Suelo,Venta,244,1414956,2005-02-26,María
Girona,281,2004-04-18,Oficina,Venta,258,1081278,2005-04-13,Carmen
Girona,282,2004-04-18,Casa,Venta,285,2534505,2004-12-28,Jesús
Tarragona,283,2004-04-18,Oficina,Alquiler,137,1336298,2004-11-27,Pedro
Girona,284,2004-04-19,Suelo,Alquiler,262,2404898,2004-10-20,Luisa
Barcelona,287,2004-04-19,Industrial,Alquiler,225,1360800,2004-07-22,Jesús
Girona,290,2004-04-20,Oficina,Alquiler,227,1437818,2005-03-27,Jesús
Tarragona,291,2004-04-21,Casa,Alquiler,295,1877675,2004-09-11,Pedro
Barcelona,296,2004-04-22,Parking,Alquiler,235,1773780,2005-03-28,Pedro
Girona,297,2004-04-23,Suelo,Alquiler,288,2699136,2004-07-28,Pedro
Tarragona,301,2004-04-24,Casa,Alquiler,178,1458176,2005-02-12,Carmen
Girona,302,2004-04-24,Industrial,Alquiler,211,1171894,2005-03-22,Pedro
Girona,303,2004-04-25,Oficina,Venta,209,1728221,2004-08-30,Carmen
Barcelona,304,2004-04-26,Casa,Alquiler,298,2612566,2005-02-16,Pedro
Girona,305,2004-04-27,Oficina,Venta,249,1150380,2004-11-18,Joaquín
Lleida,306,2004-04-27,Piso,Venta,142,1055912,2004-09-28,Jesús
Lleida,307,2004-04-27,Industrial,Venta,196,1645616,2005-04-14,Carmen
Barcelona,308,2004-04-28,Suelo,Alquiler,228,1521216,2005-03-16,Carmen
Lleida,309,2004-04-28,Piso,Alquiler,237,1763517,2004-09-06,Luisa
Girona,312,2004-04-29,Industrial,Venta,189,1579284,2005-01-07,Luisa
Tarragona,314,2004-04-30,Suelo,Alquiler,230,1386900,2005-03-21,Joaquín
Barcelona,315,2004-05-01,Casa,Alquiler,251,2439971,2005-02-14,Joaquín
Barcelona,316,2004-05-02,Industrial,Alquiler,261,2571111,2005-02-07,Carmen
Barcelona,317,2004-05-02,Parking,Alquiler,251,1754992,2004-08-26,Jesús
Girona,320,2004-05-02,Industrial,Alquiler,277,2456159,2004-08-04,María
Barcelona,323,2004-05-03,Parking,Venta,237,1592166,2004-10-15,María
Barcelona,326,2004-05-04,Industrial,Alquiler,179,1227224,2004-10-08,Luisa
Tarragona,327,2004-05-04,Suelo,Venta,180,1022040,2005-03-28,Jesús
Barcelona,328,2004-05-04,Suelo,Venta,273,1369368,2005-04-17,Jesús
Lleida,329,2004-05-04,Industrial,Venta,285,1922325,2004-11-11,María
Girona,330,2004-05-05,Parking,Alquiler,125,1189250,2004-10-26,Pedro
Tarragona,334,2004-05-07,Industrial,Alquiler,242,2110966,2005-01-22,Pedro
Tarragona,336,2004-05-07,Local,Alquiler,227,1394461,2005-01-28,María
Tarragona,341,2004-05-10,Casa,Venta,229,1990697,2004-11-02,Pedro
Lleida,342,2004-05-10,Local,Alquiler,259,1992228,2004-12-21,Pedro
Barcelona,343,2004-05-10,Parking,Venta,175,1178100,2004-11-12,Luisa
Barcelona,344,2004-05-10,Casa,Venta,146,1083466,2004-09-19,Jesús
Tarragona,345,2004-05-11,Industrial,Alquiler,131,1263495,2005-01-01,Jesús
Tarragona,346,2004-05-11,Local,Venta,202,1320676,2004-12-23,Pedro
Girona,348,2004-05-11,Oficina,Alquiler,187,1560889,2005-03-26,Joaquín
Tarragona,349,2004-05-12,Parking,Venta,234,1398852,2004-11-01,María
Tarragona,352,2004-05-14,Casa,Venta,241,2060550,2004-10-10,Luisa
Tarragona,353,2004-05-14,Piso,Alquiler,257,1980185,2004-08-14,Carmen
Tarragona,355,2004-05-14,Oficina,Alquiler,209,1181686,2004-10-15,Carmen
Girona,357,2004-05-15,Suelo,Venta,196,1707944,2004-08-19,Pedro
Barcelona,358,2004-05-15,Piso,Venta,131,1180048,2004-11-04,Joaquín
Lleida,359,2004-05-15,Parking,Venta,130,1176630,2005-03-18,Jesús
Lleida,361,2004-05-17,Local,Venta,291,1505925,2005-03-10,Luisa
Lleida,364,2004-05-18,Local,Venta,267,1257036,2004-12-26,Luisa
Barcelona,369,2004-05-19,Casa,Alquiler,149,1238339,2004-12-27,Luisa
Tarragona,370,2004-05-19,Suelo,Alquiler,285,1377975,2004-09-14,Jesús
Barcelona,371,2004-05-20,Oficina,Venta,230,1109980,2004-12-08,Luisa
Lleida,372,2004-05-20,Parking,Alquiler,163,1317529,2005-05-03,Luisa
Tarragona,375,2004-05-22,Local,Venta,230,1398630,2005-04-10,María
Lleida,376,2004-05-23,Industrial,Alquiler,247,1210053,2004-09-04,Jesús
Girona,378,2004-05-24,Suelo,Alquiler,280,1680000,2004-09-17,María
Lleida,380,2004-05-25,Local,Venta,269,2586704,2005-03-27,Carmen
Lleida,382,2004-05-26,Suelo,Alquiler,264,2582184,2005-04-24,Luisa
Lleida,383,2004-05-26,Industrial,Alquiler,298,1331166,2004-12-28,Joaquín
Barcelona,384,2004-05-26,Parking,Venta,200,1823400,2004-10-20,Joaquín
Barcelona,385,2004-05-26,Parking,Venta,197,1746405,2005-03-20,Luisa
Girona,391,2004-05-30,Suelo,Venta,300,1483500,2005-03-29,Carmen
Barcelona,392,2004-05-30,Piso,Alquiler,202,1560450,2005-02-06,Jesús
Girona,393,2004-05-31,Piso,Venta,225,1164375,2005-03-04,Pedro
Girona,395,2004-05-31,Casa,Alquiler,192,1159296,2005-05-23,Carmen
Lleida,396,2004-05-31,Parking,Alquiler,296,1602544,2004-09-07,Jesús
Tarragona,400,2004-06-01,Parking,Venta,208,1225120,2005-01-22,Carmen
Barcelona,401,2004-06-02,Piso,Alquiler,271,2682900,2005-06-02,Pedro
Lleida,402,2004-06-02,Industrial,Alquiler,278,2188138,2005-01-21,María
Tarragona,405,2004-06-03,Local,Venta,224,1804992,2005-01-20,Jesús
Barcelona,406,2004-06-03,Oficina,Venta,207,1883700,2005-02-23,Carmen
Barcelona,407,2004-06-03,Industrial,Venta,162,1383480,2004-12-16,María
Girona,409,2004-06-04,Parking,Venta,293,1750089,2005-04-05,Luisa
Girona,412,2004-06-05,Local,Venta,148,1268952,2004-10-14,María
Tarragona,413,2004-06-05,Piso,Alquiler,189,1527498,2005-05-14,Luisa
Lleida,416,2004-06-07,Oficina,Alquiler,201,1287807,2004-09-11,Carmen
Barcelona,417,2004-06-07,Suelo,Venta,254,1381506,2005-04-14,Luisa
Girona,418,2004-06-07,Industrial,Alquiler,287,2452989,2005-01-26,Joaquín
Lleida,420,2004-06-08,Piso,Alquiler,114,1019160,2005-05-29,Carmen
Barcelona,421,2004-06-09,Suelo,Venta,135,1209735,2005-05-05,Pedro
Barcelona,423,2004-06-09,Local,Alquiler,260,1090180,2004-12-16,Luisa
Barcelona,424,2004-06-09,Parking,Venta,261,1945755,2004-11-06,Jesús
Girona,425,2004-06-09,Casa,Venta,173,1117753,2004-12-11,María
Lleida,426,2004-06-09,Oficina,Alquiler,207,1042659,2004-10-12,Jesús
Tarragona,429,2004-06-11,Parking,Alquiler,271,2190493,2004-11-02,Jesús
Tarragona,430,2004-06-11,Oficina,Venta,249,1388175,2004-10-29,Luisa
Tarragona,431,2004-06-11,Suelo,Alquiler,153,1116441,2004-12-19,Jesús
Lleida,432,2004-06-12,Oficina,Alquiler,205,1980300,2005-01-01,Joaquín
Tarragona,434,2004-06-13,Local,Alquiler,246,1898628,2004-12-15,Joaquín
Girona,435,2004-06-13,Industrial,Alquiler,233,1541528,2005-02-03,Jesús
Barcelona,438,2004-06-14,Oficina,Venta,158,1543344,2004-12-26,Luisa
Girona,439,2004-06-15,Oficina,Alquiler,298,2524358,2004-10-23,Luisa
Barcelona,440,2004-06-15,Parking,Venta,115,1077665,2004-09-19,Jesús
Girona,443,2004-06-17,Piso,Alquiler,245,1001070,2004-10-14,Jesús
Barcelona,444,2004-06-17,Parking,Venta,102,1005312,2005-06-09,Luisa
Lleida,447,2004-06-17,Parking,Alquiler,263,1779458,2005-01-24,Pedro
Girona,448,2004-06-17,Local,Alquiler,234,1159470,2004-10-02,Pedro
Lleida,450,2004-06-18,Industrial,Alquiler,248,1674744,2005-05-01,Luisa
Lleida,452,2004-06-19,Suelo,Venta,215,2097970,2004-11-13,Pedro
Girona,453,2004-06-19,Suelo,Venta,185,1616900,2005-04-08,Jesús
Barcelona,455,2004-06-20,Parking,Alquiler,244,2439512,2005-01-02,Carmen
Lleida,456,2004-06-20,Piso,Venta,195,1797120,2004-12-31,María
Girona,463,2004-06-23,Casa,Venta,214,1962380,2005-06-01,Pedro
Lleida,465,2004-06-24,Industrial,Alquiler,268,2628812,2005-03-15,Pedro
Tarragona,472,2004-06-25,Suelo,Venta,297,1820016,2005-01-08,María
Girona,474,2004-06-25,Suelo,Venta,199,1622646,2005-06-23,Jesús
Girona,479,2004-06-28,Oficina,Venta,232,1028224,2005-05-26,Luisa
Barcelona,481,2004-06-29,Oficina,Alquiler,257,1166780,2005-01-10,Jesús
Tarragona,482,2004-06-29,Industrial,Venta,243,1983123,2005-06-16,María
Girona,484,2004-06-30,Casa,Venta,153,1506438,2004-12-03,Luisa
Tarragona,485,2004-06-30,Piso,Alquiler,122,1093608,2005-02-27,Luisa
Girona,486,2004-06-30,Piso,Venta,283,2199476,2005-06-04,Luisa
Lleida,487,2004-06-30,Casa,Venta,261,2475063,2005-01-21,Carmen
Lleida,488,2004-07-01,Piso,Alquiler,185,1306840,2005-05-17,Carmen
Barcelona,490,2004-07-02,Parking,Alquiler,234,1911312,2005-04-08,Luisa
Lleida,492,2004-07-03,Local,Venta,282,1298328,2005-03-10,Jesús
Lleida,493,2004-07-03,Parking,Alquiler,299,1948583,2004-12-21,María
Barcelona,494,2004-07-03,Piso,Venta,274,1729762,2005-07-03,Luisa
Barcelona,495,2004-07-03,Oficina,Venta,268,2578696,2005-06-28,Luisa
Lleida,496,2004-07-03,Piso,Alquiler,155,1166065,2004-12-07,Jesús
Girona,497,2004-07-03,Oficina,Venta,209,1316073,2005-04-02,Pedro
Tarragona,498,2004-07-03,Suelo,Alquiler,110,1004740,2005-07-03,Luisa
Lleida,500,2004-07-04,Industrial,Alquiler,240,2238000,2005-05-06,Pedro
Lleida,502,2004-07-05,Piso,Alquiler,224,2087904,2005-01-29,Jesús
Lleida,504,2004-07-05,Oficina,Venta,186,1216254,2005-04-09,María
Tarragona,506,2004-07-05,Industrial,Alquiler,235,1207195,2004-10-14,Luisa
Tarragona,507,2004-07-05,Industrial,Alquiler,159,1032546,2004-11-07,Carmen
Barcelona,508,2004-07-05,Local,Venta,271,2297538,2004-11-22,Jesús
Barcelona,510,2004-07-06,Industrial,Alquiler,227,1175860,2005-07-05,Joaquín
Tarragona,512,2004-07-06,Parking,Alquiler,239,1782940,2004-11-13,Joaquín
Barcelona,513,2004-07-06,Casa,Alquiler,191,1841622,2005-01-21,Jesús
Girona,517,2004-07-08,Industrial,Venta,174,1313526,2005-01-16,Pedro
Lleida,522,2004-07-09,Casa,Venta,223,1293400,2005-03-03,Carmen
Girona,523,2004-07-09,Suelo,Alquiler,270,1429380,2005-03-25,Carmen
Barcelona,524,2004-07-10,Piso,Alquiler,159,1536576,2005-06-24,Pedro
Lleida,525,2004-07-10,Parking,Venta,280,1249360,2005-01-09,Pedro
Girona,526,2004-07-11,Parking,Venta,162,1594404,2005-03-07,María
Lleida,528,2004-07-12,Casa,Alquiler,231,2273040,2005-02-04,Joaquín
Lleida,529,2004-07-12,Industrial,Alquiler,206,1414602,2005-06-14,Carmen
Lleida,535,2004-07-14,Industrial,Alquiler,280,1730680,2005-05-07,Carmen
Girona,536,2004-07-14,Casa,Venta,197,1292123,2005-06-30,Joaquín
Girona,537,2004-07-14,Local,Alquiler,117,1031121,2005-04-30,Luisa
Girona,538,2004-07-15,Industrial,Alquiler,279,2161134,2005-03-09,María
Barcelona,542,2004-07-16,Oficina,Venta,182,1514968,2004-10-24,María
Barcelona,548,2004-07-20,Parking,Venta,286,2330042,2004-10-21,Carmen
Girona,549,2004-07-20,Local,Venta,237,1403988,2005-06-27,Carmen
Lleida,550,2004-07-21,Casa,Alquiler,275,1711325,2005-04-27,Luisa
Girona,551,2004-07-21,Piso,Alquiler,237,2215002,2004-10-31,Pedro
Barcelona,553,2004-07-21,Oficina,Venta,209,1568754,2004-12-15,Pedro
Girona,555,2004-07-22,Piso,Venta,138,1289748,2004-12-25,Luisa
Girona,557,2004-07-23,Piso,Alquiler,198,1916442,2005-04-14,Joaquín
Girona,558,2004-07-24,Piso,Alquiler,246,1875012,2005-03-08,Luisa
Tarragona,559,2004-07-24,Local,Alquiler,188,1590104,2004-10-26,Pedro
Tarragona,560,2004-07-25,Industrial,Alquiler,285,1412175,2004-12-01,Pedro
Barcelona,563,2004-07-25,Piso,Venta,237,1272216,2005-04-27,Jesús
Girona,566,2004-07-26,Local,Alquiler,266,1881950,2005-01-15,María
Tarragona,572,2004-07-28,Local,Alquiler,235,1897155,2005-07-01,Carmen
Tarragona,573,2004-07-28,Parking,Venta,243,1038825,2004-12-14,Jesús
Barcelona,575,2004-07-28,Parking,Alquiler,280,1877400,2005-04-21,Joaquín
Girona,578,2004-07-29,Oficina,Venta,221,1571973,2004-12-25,Joaquín
Tarragona,580,2004-07-30,Parking,Venta,226,1634884,2005-07-20,María
Tarragona,581,2004-07-30,Casa,Venta,230,1742020,2004-11-16,Jesús
Lleida,582,2004-07-31,Industrial,Venta,290,2584480,2004-11-22,Jesús
Tarragona,583,2004-07-31,Local,Venta,297,1767744,2005-03-23,Pedro
Girona,584,2004-08-01,Casa,Alquiler,257,1077601,2005-02-07,Luisa
Girona,585,2004-08-01,Parking,Alquiler,161,1050203,2005-02-04,Joaquín
Barcelona,587,2004-08-02,Piso,Alquiler,184,1286344,2005-07-02,Joaquín
Tarragona,589,2004-08-02,Oficina,Venta,138,1372686,2005-06-17,Carmen
Tarragona,593,2004-08-04,Suelo,Venta,213,1234974,2005-06-23,Carmen
Tarragona,594,2004-08-04,Industrial,Alquiler,171,1148436,2005-06-29,Pedro
Barcelona,595,2004-08-04,Industrial,Venta,262,1343798,2005-04-15,Jesús
Barcelona,600,2004-08-08,Oficina,Alquiler,289,1275646,2005-01-29,Pedro
Girona,602,2004-08-09,Industrial,Venta,227,1218763,2005-07-27,Joaquín
Barcelona,603,2004-08-09,Casa,Alquiler,174,1408182,2005-05-23,Jesús
Lleida,605,2004-08-10,Piso,Alquiler,212,1817264,2005-06-25,María
Lleida,608,2004-08-11,Suelo,Venta,210,1117620,2005-05-12,Carmen
